,video_title,video_link,video_views,video_duration,video_availability,channel_id
143,LeBron James vs Kevin Durant is like Jordan vs Barkley & Magic vs Isiah | CLUB SHAY SHAY,https://www.youtube.com/watch?v=hJeJPUNSuNA,18695,4:44,1,UCQoxJOkwaCgyzQtiuAIDcuw
304,"Dwyane Wade on Going Into The Hall of Fame w/ Dirk Nowitzki, Tony Parker, Gregg Popovich & Pau Gasol",https://www.youtube.com/watch?v=zP28w1EBNSw,18759,4:58,1,UCQoxJOkwaCgyzQtiuAIDcuw
314,Dwyane Wade on Gabrielle Union's Miscarriages & Having Daughter via Surrogacy | CLUB SHAY SHAY,https://www.youtube.com/watch?v=G01zlErpx40,18827,3:16,1,UCQoxJOkwaCgyzQtiuAIDcuw
391,R. Kelly's Legacy - Jacquees & Shannon Sharpe discuss | Ep. 83 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=JPGAiNG6Drw,18883,1:34,1,UCQoxJOkwaCgyzQtiuAIDcuw
202,DJ Khaled's Visit To Rick Ross' House Turned Dangerous After Getting Lost On Jet Ski At Sea,https://www.youtube.com/watch?v=1klbBWpcx_I,19056,3:02,1,UCQoxJOkwaCgyzQtiuAIDcuw
338,Chris Brown Turned Down Def Jam At 14 B/c They Wouldn’t Talk To His Mom | EP. 86 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=DpZxg5v1QZU,19167,7:30,1,UCQoxJOkwaCgyzQtiuAIDcuw
399,"Ne-Yo Would Sell His Music Catalog: ""I have yet to write my most amazing record"" | CLUB SHAY SHAY",https://www.youtube.com/watch?v=uAvR-v9w61Q,19187,1:16,1,UCQoxJOkwaCgyzQtiuAIDcuw
184,Lil Baby Could've Said DaBaby Was Copying Him | CLUB SHAY SHAY,https://www.youtube.com/watch?v=wsVuZELQfyk,19334,1:57,1,UCQoxJOkwaCgyzQtiuAIDcuw
167,Ric Flair: Logan Paul is Better Than Longtime WWE Wrestlers | CLUB SHAY SHAY,https://www.youtube.com/watch?v=99tQDVb1ov4,19403,1:34,1,UCQoxJOkwaCgyzQtiuAIDcuw
313,Dwyane Wade on the Miami Heat Big 3 Hate & How Losing in The NBA Finals was Good for Them,https://www.youtube.com/watch?v=LEFfJwEg0TU,19899,6:22,1,UCQoxJOkwaCgyzQtiuAIDcuw
302,"Dwyane Wade on Sacrificing For LeBron James, Chris Bosh & the Miami Heat | CLUB SHAY SHAY",https://www.youtube.com/watch?v=5u98kxV7DeI,19979,3:03,1,UCQoxJOkwaCgyzQtiuAIDcuw
215,Michael B. Jordan Public Breakup With Lori Harvey And Cordae Stuck In The Middle At Warriors' Game,https://www.youtube.com/watch?v=fs-_rThtauM,20064,1:18,1,UCQoxJOkwaCgyzQtiuAIDcuw
145,Scottie Pippen Was As Impactful As Michael Jordan On The Bulls - Trevor Ariza discusses,https://www.youtube.com/watch?v=DUqFboH8cWo,20266,3:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
175,Ric Flair Hopes Dallas Cowboys Make Super Bowl And Lose & Aaron Rodgers Is His Favorite NFL Player,https://www.youtube.com/watch?v=4YjRPNjv9BU,20299,2:09,1,UCQoxJOkwaCgyzQtiuAIDcuw
432,Missy Elliott put Timbaland on - The Backstory | Ep. 80 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=tM4q9K6OWkE,20426,9:05,1,UCQoxJOkwaCgyzQtiuAIDcuw
381,Chris Brown Let Jacquees Live With Him After High School & Jacquees Learning From Trey Songz | Ep 83,https://www.youtube.com/watch?v=cvLo7vETyWY,20582,1:15,1,UCQoxJOkwaCgyzQtiuAIDcuw
146,Victor Wembanyama A Better Scorer Than Kevin Durant And Is Victor Bol Bol? Trevor Ariza reacts,https://www.youtube.com/watch?v=mjspYTOU-h0,20738,1:31,1,UCQoxJOkwaCgyzQtiuAIDcuw
124,Kirk Franklin Prays For Shannon Sharpe & The World | CLUB SHAY SHAY,https://www.youtube.com/watch?v=AmxLPsYM0t0,20800,3:48,1,UCQoxJOkwaCgyzQtiuAIDcuw
59,Kountry Wayne’s Dating Tips To 10 Kids | CLUB SHAY SHAY,https://www.youtube.com/watch?v=nqGNnjVenjk,21042,8:03,1,UCQoxJOkwaCgyzQtiuAIDcuw
477,Steve Harvey On Doing Stand Up: 'Cancel Culture too live. My career would be over' | CLUB SHAY SHAY,https://www.youtube.com/watch?v=6eRb5zYRWh8,21272,2:43,1,UCQoxJOkwaCgyzQtiuAIDcuw
474,"Steve Harvey on Bathing In Public Bathrooms, Living In Car & Blowing Up After Showtime At The Apollo",https://www.youtube.com/watch?v=oDiu1yyGlYY,21417,10:29,1,UCQoxJOkwaCgyzQtiuAIDcuw
362,Stephen A. Smith: LeBron James from 2012 to now has an argument to be better than Michael Jordan,https://www.youtube.com/watch?v=n7bb6-8cxak,21755,3:38,1,UCQoxJOkwaCgyzQtiuAIDcuw
439,Timbaland On Meeting Justin Timberlake At 15: 'This White boy cold' | CLUB SHAY SHAY,https://www.youtube.com/watch?v=CeRZbup8OSw,22065,4:23,1,UCQoxJOkwaCgyzQtiuAIDcuw
241,Jamie Foxx Receives His Flowers And Reaction To His Health Scare - Bruce Bruce | CLUB SHAY SHAY,https://www.youtube.com/watch?v=ts5m34RoR2o,22293,1:56,1,UCQoxJOkwaCgyzQtiuAIDcuw
287,"Brittany Renner on Derek Jeter Dating Diamond Hypocrisy, Son Seeing Her Videos & Not Dating NBA Men",https://www.youtube.com/watch?v=TYIQ-qbJqYw,22462,24:14,1,UCQoxJOkwaCgyzQtiuAIDcuw
435,Shannon pitches Timbaland a Verzuz Battle: Usher vs. Chris Brown: 'It would be good for the culture',https://www.youtube.com/watch?v=_ich9INZOlE,22505,14:15,1,UCQoxJOkwaCgyzQtiuAIDcuw
252,"Black TV Will Never Be Like The 1990s With Martin, Living Single or In Living Color",https://www.youtube.com/watch?v=bLnIIegl6bM,22541,3:23,1,UCQoxJOkwaCgyzQtiuAIDcuw
417,Tabitha Brown Receives Her Flowers From Husband Chance | Ep. 81 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=xfSIJzMNyZs,22568,23:11,1,UCQoxJOkwaCgyzQtiuAIDcuw
359,"Stephen A. Smith Picks Jayson Tatum Over Luka Dončić, Agree? | EP. 85 | CLUB SHAY SHAY",https://www.youtube.com/watch?v=AA_rPHxqF_E,22806,1:09,1,UCQoxJOkwaCgyzQtiuAIDcuw
223,DaBaby Harsh Criticism And Cordae Extending His Hand To Support | CLUB SHAY SHAY,https://www.youtube.com/watch?v=ObrNmHF9QEs,23307,2:05,1,UCQoxJOkwaCgyzQtiuAIDcuw
412,"Chance on Tabitha Brown: ""I thought she was a little crazy. I was attracted to crazy""",https://www.youtube.com/watch?v=Tv053o_7gdQ,23438,22:49,1,UCQoxJOkwaCgyzQtiuAIDcuw
209,DJ Khaled Missed Drake's DM Before He Blew Up & DJ Khaled Regrets It | CLUB SHAY SHAY,https://www.youtube.com/watch?v=JAdNJzBY6UE,23768,1:42,1,UCQoxJOkwaCgyzQtiuAIDcuw
333,Chris Brown's Lap Dance Caused Man To Break Up With Girlfriend | EP. 86 | CLUB SHAY SHAY,https://www.youtube.com/watch?v=JyED4XQhSzA,24189,1:33,1,UCQoxJOkwaCgyzQtiuAIDcuw
222,"Cordae Stopped Doing Acid, Xanax, Percs, Drinking Lean, and Declined Blunts From Legends",https://www.youtube.com/watch?v=yKmjTef_5Vo,24312,1:55,1,UCQoxJOkwaCgyzQtiuAIDcuw
116,"Kirk Franklin On Being Girl Crazy, Having Son At 17, Being Homeless & Bathing At Church",https://www.youtube.com/watch?v=rn6Qj1GzmNI,24411,9:24,1,UCQoxJOkwaCgyzQtiuAIDcuw
